file, citation_rec, citation_prec, claims_nli
result/eli5-Meta-Llama-3-8B-Instruct-naive-1shotx5-top10-summary-42-quick_test30.json.score, 46.08, 54.42, 13.33
result/eli5-Meta-Llama-3-8B-Instruct-naive-1shotx5-top5-text-42-quick_test30.json.score, 40.89, 43.02, 12.22
result/eli5-Meta-Llama-3-8B-Instruct-naive-1shotx5-top10-summary_bart-large-cnn-42-quick_test30.json.score, 36.24, 41.31, 11.11
result/eli5-Meta-Llama-3-8B-Instruct-naive-0shotx0-top5-summary_bart-large-cnn-42-quick_test30.json.score, 28.69, 39.88, 14.44
result/eli5-Meta-Llama-3-8B-Instruct-naive-1shotx5-top5-summary_bart-large-cnn-42-quick_test30.json.score, 28.58, 32.49, 14.44
result/eli5-Meta-Llama-3-8B-Instruct-naive-1shotx5-top5-summary-42-quick_test30.json.score, 35.60, 45.63, 10.00
result/eli5-Meta-Llama-3-8B-Instruct-oracle-summ-0shotx0-top5-summary-42-quick_test30.json.score, 27.64, 39.58, 17.78
result/eli5-Meta-Llama-3-8B-Instruct-naive-0shotx0-top10-text-42-quick_test30.json.score, 31.01, 37.79, 12.22
result/eli5-Meta-Llama-3-8B-Instruct-naive-1shotx5-top10-text-42-quick_test30.json.score, 24.11, 26.07, 15.56
result/eli5-Meta-Llama-3-8B-Instruct-naive-0shotx0-top5-text-42-quick_test30.json.score, 31.97, 41.41, 10.00
result/eli5-Meta-Llama-3-8B-Instruct-oracle-summ-1shotx5-top5-summary-42-quick_test30.json.score, 45.96, 49.01, 18.89
result/eli5-Meta-Llama-3-8B-Instruct-naive-0shotx0-top5-summary-42-quick_test30.json.score, 32.23, 45.85, 14.44
result/eli5-Meta-Llama-3-8B-Instruct-naive-0shotx0-top10-summary-42-quick_test30.json.score, 34.16, 47.71, 14.44
result/eli5-Meta-Llama-3-8B-Instruct-naive-0shotx0-top10-summary_bart-large-cnn-42-quick_test30.json.score, 27.01, 37.19, 10.00
